Word,Orthography w/ tones,IPA,English,Spanish,Tone Melody,Syllable Structure,Phonation Type,Part of Speech,Semantic Domain,Speaker,Sound File,Notes,Checked?,Need
kuijka,kuìjkà,[kʷìʰkà],comb,peine,LL,CVhCV,pre-aspirated,noun,tools and implements,,peine.wav,,,
kuika,kuíkà,[kʷíkà],rich,rico,H,CVCV,pre-aspirated,adjective,states of being,,,,,
kuiñu,kuíñu,[kʷíɲu᷈],jealous,celoso,H,CVCV,modal,adjective,states of being,,celoso.wav,,,
kuiso,kuisò,[kʷīsò],carry (pot),cargar (pot),ML,CVCV,,verb (potential),Actions and activities,,,,,
kuitsi,kuítsi,[kʷít͡si],short,corto,HM,CVCV,pre-aspirated,adjective,descriptions,,corto1.wav,,,
kuiya,kuìya,[kʷìja],year,año,LM,CVCV,modal,noun,times and seasons,NGC,año.wav,,,
kuka'a nuju,kùka'a nùjǔ,[kùkaˀa nùʰǔ],be embarrassed (completive),humillar (completive),LMM LR,CVCV?V CVhV,multiple word types,verb (completive),states of being,,,,,
kuka'a nuju,kúka'à nùjǔ,[kúkaˀà nùʰǔ],be embarrassed (continuative),humillar (continuative),HML LR,CVCV?V CVhV,multiple word types,verb (continuative),states of being,,,,,
kuka'a nuju,kuká'à nùjǔ,[kʷkáˀà nùʰǔ],be embarrassed (potential),humillar (potential),MHL LR,CCV?V CVhV,multiple word types,verb (potential),states of being,,,,,
kuka'nu ini,kúká'nù ini,[kúkáˀnù īnī],to forgive (continuative),perdonar (continuative),HHLMM,CVCV?CV VCV,glottalized,verb (continuative),Actions and activities,,perdona.wav,literally: to be big inside,No,Verb Tense
kuki sa'ma,,,embroider. Cont,bordar. Cont,,,,,Actions and activities,,,,,
kukie sa'ma,,,embroider. Cont,bordar. Cont,,,,,Actions and activities,,,,,
kukjun sa'ma,,,embroider. Cont,bordar. Cont,,,,,Actions and activities,,,,,
kuku ra sa'ma,,,embroider. Cont,bordar. Cont,,,,,Actions and activities,,,,,
kukua'a,kùkuǎ'à,[kùkʷǎˀà],turn red (completive),ponerse rojo/ colorado (completive),LRL,CVCV?V,glottalized,verb (completive),descriptions,,,,,
kukua'a,kúkuá'à,[kúkʷáˀà],turn red (continuative),ponerse rojo/ colorado (continuative),HHL,CVCV?V,glottalized,verb (continuative),descriptions,,,,,
kukua'a,kukuá'à,[kʷkʷáˀà],turn red (potential),ponerse rojo/ colorado (potential),(M)HL,CCV?V,glottalized,verb (potential),descriptions,,,,,
kukuaan,kùkuǎàn,[kùkʷǎã],turn yellow (completive),ponerse amarillo (completive),LRL,CVCVV,modal,verb (completive),descriptions,,,,,
kukuaan,kúkuáàn,[kʷkʷáã],turn yellow (continuitive),ponerse amarillo (continuative),HHM,CCVV,modal,verb (continuative),descriptions,,,,,
kukuaan,kukuáàn,[kʷkʷáã],turn yellow (potential),ponerse amarillo (potential),MMHL,CCVV,modal,verb (potential),descriptions,,,,,
kukuiji,kùkuǐjǐ,[kʷkʷǐʰǐ],turn green (completive),ponerse verde (completive),LMRR,CCVhV,aspirated,verb (completive),descriptions,,,,,
kukuiji,kúkuíjǐ,[kʷkʷíʰǐ],turn green (continuitive),ponerse verde (continuative),HMHR,CCVhV,aspirated,verb (continuative),descriptions,,,,,
kukuiji,kukuíjǐ,[kʷkʷíʰǐ],turn green (potential),ponerse verde (potential),MMHR,CCVhV,aspirated,verb (potential),descriptions,,,,,
kulaantro,kuláántro,[kulááⁿtɾo],cilantro,cilantro,MHHM,CVCVVCCV,modal,noun,"food, drink, and cooking",,cilantro.wav,loan word,,
kun sikasun iin nchuxi,kun síkasǔn iin nchuxí,,toast,"dorar, pot.",,,,,"food, drink, and cooking",,,,,"Check Duplicate, Phrase"
kunaa,kùnaǎ,[kúnaǎ],be tired (completive),Estar cansado (completive),LMR,CVCVV,modal,verb (completive),states of being,,,double check,"Yes, revise",
kunaa,kúnaǎ,[kũnaǎ],be tired (continuitive),Estar cansado (continuative),HMR,CVCVV,modal,verb (continuative),states of being,,,double check,"Yes, revise",
kunaa,kunaǎ,[kũnaǎ],be tired (potential),Estar cansado (potential),MMR,CVCVV,modal,verb (potential),states of being,,,double check,"Yes, revise",
kuni ñu'u,kuni ñú'ǔ,[kuni ɲúˀǔ],need (pot),necesitar (pot),M HR,CVV CV?V,modal,verb (potential),Actions and activities,,,,,
kuntaa ini,kùntaà ini,[kuⁿtaà ĩi],realize/understand (completive),realizar/ entender (completive),LML MM,CCVV VV,modal,verb (completive),Actions and activities,,,,,
kuntaa ini,kúntaà ini,[kúⁿtàà ĩi],realize/understand (continuitive),realizar/ entender (continuitive),HLL MM,CVCVV VV,modal,verb (continuative),Actions and activities,,,,,
kuntaa ini,kuntàà ini,[kuⁿtàà ĩi],realize/understand (potential),realizar/ entender (potential),MLL MM,CCVV VV,modal,verb (potential),Actions and activities,,,,,
kuntoso,kuntósǒ,[kuⁿtósǒ],be on (potential),estar en (potential),MHR,CCVCV,modal,verb (potential),Actions and activities,,,,,
kuntsi'i,kùntsǐ'i,[kùⁿt͡sʲi],turn blue (completive),ponerse azul (completive),LRM,CVCV,glottalized,verb (completive),states of being,,,,,
kuntsi'i,kúntsí'i,[kúⁿt͡sʲi],turn blue (continuitive),ponerse azul (continuative),HHM,CVCV,glottalized,verb (continuative),states of being,,,,,
kuntsi'i,kuntsí'i,[kuⁿt͡sʲi],turn blue(potential),ponerse azul (potential),MHM,CVCV,glottalized,verb (potential),states of being,,,,,
kuntsiaa,,[kuⁿ͡tsʲaa],protection,protección,,CVCVV,modal,noun,social events and responsibilities,NGC,,,,Tones
kuntsie'e,kuntsiè'e,[kuⁿt͡sʲèˀe],watch/see (potential),ver (potential),MLM,CCV?V,glottalized,verb (potential),Actions and activities,,,,,
kuntsiee,kúntsiee,[kún͡tsʲēē],to put up with (continuitive),aguantar (continuitive),HMM,CVCVV,modal,verb (continuative),states of being,,aguanta.wav,,,Verb Tense
kuntu'u,kuntú'ǔ,[kuntúˀǔ],sit (potential),sentar (potential),MHR,CCV?V,glottalized,verb (potential),Actions and activities,,,,,
kuntuju,kúntújǔ,[kúⁿtúʰǔ],sit (cont),sentar (cont),HHR,CCVhV,modal,verb (continuative),Actions and activities,,,,,
kuntuju,kuntújǔ,[kuⁿtúʰǔ],sit (pot),sentar (pot),MHR,CCVhV,modal,verb (potential),Actions and activities,,,,,
kuntutsia,kùntutsiǎ,[kùⁿtut͡sʲǎ],be baptized(completive),bautizar (completive),LMR,CVCVCCV,modal,verb (completive),social events and responsibilities,,bautizar-comp.wav,,,
kuntutsia,kúntutsiǎ,[kúⁿtut͡sʲǎ],be baptized (continuitive),bautizar (continuative),HMR,CVCVCCV,modal,verb (continuative),social events and responsibilities,,bautizar-cont.wav,,,
kuntutsia,kuntutsiǎ,[kuⁿtut͡sʲǎ],be baptized (potential),bautizar (potential),MMR,CCVCCV,modal,verb (potential),social events and responsibilities,,bautizar-pot.wav,,,Tones
kuntutu,kuntutu,,little owl,tecolotillo,,,modal,noun,wild animals,,,,,Tones
kuntyityi,kuntyityi,[kuɲt͡ʃit͡ʃi],stand (potential),estar parado (potential),MMM,CCCCVCCV,modal,verb (potential),Actions and activities,,,,,Tones
kunu'u ini,kuñu'u ini,[kuɲuˀu ĩi],remember1 (potential),acordar (potential),MMM MM,CCV?V VV,glottalized,verb (potential),Actions and activities,,acordar-pot.wav,,,
kunumi,kùnumí,[kùnũmĩ́],to cross (potential),cruzarse (potential),LMH,CVCVCV,modal,verb (potential),Actions and activities,JGO,,,,
kusi,kùsì,,sleep. pot I,dormir. pot yo,,,modal,verb (potential),Actions and activities,,,,,
kusi ra,kùsì rà,,sleep. pot him,dormir. pot él,,,modal,verb (potential),Actions and activities,,,,,
kusie,kùsiě,,sleep. pot we,dormir. pot nos.,,,modal,verb (potential),Actions and activities,,,,,
kusiji ini,kùsijǐ ini,[kùsʲʰǐ ĩi],be happy(completive),estar feliz (completive),LR MM,CVChV VV,aspirated,verb (completive),states of being,,,,"Yes, revise",
kusiji ini,kúsìjǐ ini,[kúsʲʰǐ ĩi],be happy (continuitive),estar feliz (continuative),HR MM,CVChV VV,aspirated,verb (continuative),states of being,,,,"Yes, revise",
kusiji ini,kusìjǐ ini,[kusʲʰǐ ĩi],be happy (potential),estar feliz (potential),MR MM,CChV VV,aspirated,verb (potential),states of being,,,,"Yes, revise",
kusiun,kùsiǔn,,sleep. pot you,dormir. pot tú,,,modal,verb (potential),Actions and activities,,,,,
kuta'nu,kuta'nǔ,[kutaˀnǔ],cross (potential),cruzar (potential),MMR,CCV?CV,glottalized,verb (potential),Actions and activities,,,,,
kuto'ni,kuto'nǐ,[kutoˀnǐ],observe (potential),observar (potential),MMR,CCV?CV,glottalized,verb (potential),Actions and activities,,,,,
kuto'va,kùto'vǎ,[kùtoˀβǎ],study (completive),estudiar (completive),LMR,CVCVCV,glottalized,verb (completive),Actions and activities,,,,,
kuto'va,kutò'vǎ,[kutoˀβǎ],study (potential),estudiar (potential),MMR,CCV?CV,glottalized,verb (potential),Actions and activities,,,,,
kutò'va,kútò'vǎ,[kútoˀβǎ],study (continuative),estudiar (continuative),HLR,CVCVCV,glottalized,verb (continuative),Actions and activities,,,,,
kutoo,kùtǒò,[kùtǒò],like (completive),gustar (completive),LRL,CVCVV,modal,verb (completive),Actions and activities,,gustar-comp.wav,,,
kutoo,kútóò,[kútóò],like(continuitive),gustar (continuative),HHL,CVCVV,modal,verb (continuative),Actions and activities,,gustar-cont.wav,,,
kutoo,kutóò,[kutóò],like (potential),gustar (potential),MHL,CCVV,modal,verb (potential),Actions and activities,,gustar-pot.wav,,,
kutsiaku,kutsiaku,[kʷt͡sʲaku],survive (potential),sobrevivir (potential),MMM,C(V)CVC,modal,verb (potential),life and health,,,,,
kutsikuiin,kùtsikuǐìn,[kùt͡sʲkʷǐi᷈̀],get dark (completive),oscurecer (completive),LRL,CVCCVV,modal,verb (completive),Actions and activities,,,,,
kutsikuiin,kútsi̥kuíìn,[kút͡sʲkʷíi᷈̀],get dark (continuative),oscurecer (continuative),HHL,CVCCVV,modal,verb (continuative),Actions and activities,,,,,
kutsikuiin,kutsi̥kuíìn,[kut͡sʲkʷíi᷈̀],get dark (potential),oscurecer (potential),MHL,CCCVV,modal,verb (potential),Actions and activities,,,,,
kutujun,kùtùjǔn,[kùtùʰǔn],turn black (completive),ponerse negro (completive),LLR,CVCVhVC,aspirated,verb (completive),states of being,,,,,
kutujun,kútùjǔn,[kútùʰǔn],turn black (continuative) ,ponerse negro (continuative),HLR,CVCVhVC,aspirated,verb (continuative),states of being,,,,,
kutujun,kutùjǔn,[kutùʰǔn],turn black (potential),ponerse negro (potential),MLR,CCVhVC,aspirated,verb (potential),states of being,,,,"Yes, revise",
kutundoso,kutundosǒ,[kutũdosǒ],try (pot),tratar (pot),MMMR,CCVCVCV,modal,verb (potential),Actions and activities,,,,,
kuu,kuu,[kūū],die (potential),morir (potential),MM,CVV,modal,verb (potential),life and health,,morirá.wav,,,Verb Tense
kuu,kǔu,[kǔu],to not be able to ,poder,RM,CVV,modal,verb (completive),Actions and activities,JGO,,,,
kuu,kúu,[kúu],to be (continuative),ser (continuative),,,,verb (continuative),states of being,,,,,
kuun,kuun,[kũ̄ũ̄],fall (used for rain) (potential),caer (potential),MM,CVV,modal,verb (potential),weather,,caerá.wav,,,Verb Tense
kuun,kúun,[kṹũ],to fall (continuitive),carer (continuative),HM,CVV,modal,verb (continuative),,,,,,
kuxa'nu,kúxá'ñù,[kúʃáˀñù],eat dinner1 (continuative),cenar (continuative),HHL,CCV?CV,glottalized,verb (continuative),"food, drink, and cooking",,,,,
kuxa'nu,kuxá'ñù,[kuʃáˀñù],eat dinner1 (potential),cenar (potential),MHL,CCV?CV,glottalized,verb (potential),"food, drink, and cooking",,,,,
kuxaa,kùxǎà,[kùʃǎà],mature (fruit) (completive),madurar (completive),LRL,CVCVV,modal,verb (completive),"food, drink, and cooking",,,,,
kuxaa,kúxáà,[kúʃáà],mature (fruit) (continuitive) ,madurar (continuative),HHL,CVCVV,modal,verb (continuative),"food, drink, and cooking",,,,,
kuxaa,kuxáà,[kuʃáà],mature (fruit) (potential),madurar (potential),MHL,CCVV,modal,verb (potential),"food, drink, and cooking",,,,,
kuxini,kuxíni,[kuʃi᷈́i],eat dinner2 (potential),cenar (potential),MHM,CCVV,modal,verb (potential),"food, drink, and cooking",,,,,
kuyaa,kùyaa,[kùjaa],turn white (completive) ,ponerse blanco (completive),LMM,CVCVV,modal,verb (completive),Actions and activities,,,,,
kuyaa,kúyaa,[kújaa],turn white (continuitive) ,ponerse blanco (continuative),HMM,CVCVV,modal,verb (continuative),Actions and activities,,,,,
kuyaa,kuyaa,[kujaa],turn white (potential) ,ponerse blanco (potential),MMM,CCVV,modal,verb (potential),Actions and activities,,,,,
kuyi'vi,kuyí'vi,[kujíˀβi],fear (potential),temer (potential),MHM,CCV?CV,glottalized,verb (potential),Actions and activities,,,,,
la'a,lá'á,[láˀá],weeping,llorón,HH,CV?V,glottalized,adjective,states of being,,llorón.wav,,,
la'lo,lá'lò,[láˀlò],lizard,lagartija delgada,HL,CV?CV,glottalized,noun,wild animals,NGC,lagartijadelgada.wav,photo?,,
la'ntsia,lá'ntsia,[láˀⁿt͡sʲa],ripped,rompido,HM,CV?CV,glottalized,adjective,states of being,,,,,
la'nu,lá'nu,[láˀnu],old,viejo,HM,CV?CV,glottalized,adjective,life and health,NGC,viejo.wav,,,
lajla,lajla,[laʰla],hen's crest,cresta de gallina,MM,CVhCV,pre-aspirated,noun,domesticated animals,NGC,crestadegallina.wav,,,
lajlari,,[laʰlari],crest,cresta,,CVhCVCV,pre-aspirated,noun,body parts and the body,NGC,cresta.wav,,,Tones
lalo,lalò,[lālò],crunchy,crujiente ,ML,CVCV,modal,adjective,descriptions,,,,,
lampa,lampa,[lāᵐpā],naked,desnudo ,MM,CVCV,modal,adjective,descriptions,,,,,
lanto,lantò,[lãtò],boastful,presumido,ML,CVCV,modal,adjective,descriptions,,,,,
lantyi,lantyi,[lāⁿ͡tʃī],lamb/sheep,cordero/borrego,MM,CVCV,modal,noun,domesticated animals,,cordero.wav,,,
laso ntyixa,lásò ntyìxá,[lásò ⁿt͡ʃìʃá],palm rope for sandals,laso de palma para hurache,HL LH,CVCVCVCV,modal,noun,clothing and cloth objects,NGC,lasodepalmaparahurache.wav,,,
laso xijni,lásò xijnǐ,[lásò ʃiʰnǐ],hair braid,trensa de pelo,HL MR,CVCV CVhCV,pre-aspirated,noun,body parts and the body,NGC,trensadepelo.wav,,,
laxan,laxan,[laʃan],bone (archaic),hueso,MM,CVCVC,modal,noun,body parts and the body,,,,,
laxan,láxán,[láʃã́],chachalaca,chachalaca,HH,CVCV,modal,noun,wild animals,JGO,,,,
leente,leentê,[lēēⁿtê],lens,lente,MMF,CVVCV,modal,noun,tools and implements,,lente1.wav,loan word,,
lefante,,[lefante],elephant,elefante,,CVCVCCV,modal,noun,wild animals,NGC,elefante.wav,loan word,,Tones
leke,leke,[lēkē],malnourished,desnutrido/ flaco,MM,CVCV,modal,adjective,descriptions,,,,,
lelo,lélo,[lélo],skunk,zorrillo,HM,CVCV,modal,noun,wild animals,,zorillo.wav,,,
lenko,lenko,[lēŋkō],lame,cojo,MM,CVCCV,modal,adjective,descriptions,,,,,
leso,leso,[lēʰsō],rabbit,conejo,MM,CVhCV,pre-aspirated,noun,wild animals,,conejo.wav,,,
limo kuaan,līmó kuáàn,[līmó kʷã́ã̀],lemon,limón amarillo,MH HL,CVCV CVV,modal,noun,"food, drink, and cooking",NGC,limónamarillo.wav https://youtu.be/vSnUpiQcp0s?si=BY2fJBojiUOu__df&t=231 2:51-2:53,loan word?,,
limo kuiji,līmó kuîjǐ,[līmó kʷîʰǐ],lime,limón verde,MH FR,CVCV CVhV,aspirated,noun,"food, drink, and cooking",NGC,limónverde.wav,,,
linko,linko,[līᵑkō],bud of the flower of the maguey cactus,capullo de maguey,MM,CVCV,modal,noun,plants and trees,,capullodemaguey.wav,,,
linko,línko,[líᵑko],fruit of maguey cactus,fruta de maguey,HM,CVCV,modal,noun,plants and trees,,frutademaguey.wav,,,
lis ton,,[lis ton] ??,ribbon,listón,,CVC CVC,modal,noun,clothing and cloth objects,NGC,listón.wav,                                                    ,,Tones
lo'o,lo'o,[lōˀō],small (sg),chico/ pequeño,MM,CV?V,glottalized,adjective,descriptions,,,,,
lona,lonà,[lōnà],multicolored,multicolor,ML,CVCV,modal,adjective,descriptions,,,,,
loro,lórò,[lórò],big parakeet,perico grande,HL,CVCV,modal,noun,wild animals,JGO,,,,
luntu,lúntu,[lúⁿtu],fruit of maguey cactus,fruta (de) maguey,HM,CVCV,modal,noun,plants and trees,NGC,frutamaguey.wav,,,
luntu,lùntù,[lùⁿtù],short,corto,LL,CVCV,modal,adjective,states of being,NGC,corto2.wav,,,Check Duplicate
luntu,lúntú,, short (length),corto,,CVCCV,,adjective,descriptions,,,,,Check Duplicate
luntu sokon,luntu sôkòn,[luⁿtu sôkõ̀] ,uvula,úvula,MM FL,CVCVCVCVC,modal,noun,body parts and the body,NGC,Uvula1.wav,,,
ma’a,má’à,[mã́ˀã̀],raccoon,mapache,HL,CV?V,glottalized,noun,wild animals,,mapache.wav,,,
ma'na,mǎ'nà,[mǎˀnà],tired,cansado,RL,CV?CV,glottalized,adjective,states of being,,desvelado.wav,,,
ma'ñu,ma'ñú,[māˀɲú],in middle,medio,MH,CV?CV,glottalized,adjective,descriptions,,,,,
mali,málì,[málì],godmother of one's child or mother of one's godchild,comadre,HL,CVCV,modal,noun,kin terms,,comadre.wav,double check meaning,,
maña,mañà,[māɲà],decietful,tramposo/ engañoso,ML,CVCV,modal,adjective,descriptions,,,,,
mansana,,[mansana],apple,manzana,,CVCCVCV,modal,noun,"food, drink, and cooking",NGC,manzana.wav,loan word https://youtu.be/vSnUpiQcp0s?si=EsNtozioRBl8zXMu&t=384 6:24-6:25,,Tones
mansana kua'a,,[mansana kʷaˀa],red apple,manzana roja,,CVCCVCV CV?V,glottalized,noun,"food, drink, and cooking",,manzanaroja.wav,https://youtu.be/vSnUpiQcp0s?si=DobBHnYL-m1FjNGc&t=404 6:44-6:45,,Tones
mansana kuaan,,[mansana kʷãã],yellow apple,manzana amarilla,,CVCCVCV CVV,modal,noun,"food, drink, and cooking",NGC,manzanamarilla.wav,https://youtu.be/vSnUpiQcp0s?si=oYqLR6qtTN2A3XZ0&t=397 6:37 - 6:38,,Tones
mata,mata,[mātā],leafy,frondoso,MM,CVCV,modal,adjective,descriptions,,,,,
matyi,màtyi,[màt͡ʃi],soft,suave/blando,LM,CVCCV,pre-aspirated,adjective,descriptions,,,,,
melon,,[melon],melon,melón,,CVCVC,modal,noun,"food, drink, and cooking",,melón.wav,loan word https://youtu.be/vSnUpiQcp0s?si=JoHNNE0O13iXfJ0l&t=719 11:59-12:00,,Tones
mesa,mésa,[mésā],table,mesa,HM,CVCV,modal,noun,houses and parts of houses,NGC,mesa.wav,loan word,,
mii,míí,[mĩ́ĩ́],FAMILIAR,FAMILIAR,,,,,,,,,,
mina,mínà,[mínà],Minas,Minas,HL,CVCV,modal,proper name,directions and locations,JGO,Minas.wav,loan word,,
minu ntsiajyi,minu ntsiajyǐ,[minu ⁿ͡tsʲaʰji],spearmint,hierbabuena,,CVCV CVhV,multiple word types,noun,"food, drink, and cooking",JGO,,,,
minu ntutyi,,[minu ⁿtu͡tʃi],epazote,epazote,,CVCV CVCV,modal,noun,plants and trees,JGO,,,,
molunka,mòlòŋka,[mòlòŋka],Almolonga,Almolonga,LLM,CVCVCV,modal,proper name,directions and locations,JGO,Almolonga.wav,loan word,,
montsiiji,nontsiíjǐ,[noⁿt͡sʲíʰǐ],sunny,soleado,MHR,CVCVhV,aspirated,adjective,weather,JGO,soleado.wav,double check this,"Yes, revise",
mpaa,mpáà,[ᵐpáà],godfather of one's child or father of one's godchild,compadre,HL,CVV,modal,noun,kin terms,,compadre.wav,double check meaning,,
mpintsiya,mpintsiyá,[ᵐpiⁿt͡sijá],prickly pear,nopal,MMH,CVCVCV,modal,noun,"food, drink, and cooking",,nopal.wav,,,
ña,ñà,[ɲã̀],3SG.N,3SG.N,,,,,,,,,,
na kaninin xijni,,[na kaninĩ ʃiʰni],imagination,imaginación,,CV CVCVCV CVCV,pre-aspirated,noun,people,NGC,,,,Tones
na kuatie iin tako,,,ask. Pot,pedir. Pot,,,,,Actions and activities,,,,,Phrase
ña rosa,,[ɲa rosa] ,pink paper,papel rosa,,CV CVCV,modal,noun,colors,NGC,papelrosa.wav,,,Tones
na sakase nchuxi,ná sákásě nchuxí,,toast,"dorar, pot.",,,,,"food, drink, and cooking",,,,,"Check Duplicate, Phrase"
na'a,na'à,[nāˀà],early,temprano,ML,CV?V,glottalized,adjective,descriptions,,,,,
ña’a,ñà’a,[ɲã̀ˀã],thing,cosa,L,CV?V,glottalized,noun,descriptions,JGO,,,,
na’ma,ñà’mǎ,[ɲã̀ˀmã̌] ,smooth,liso,LR,CV?CV,glottalized,adjective,states of being,,liso.wav,,,
ña'mi,ñá'mi,[ɲáˀmi],sweet potato,camote,HM,CV?CV,glottalized,noun,"food, drink, and cooking",NGC,camote.wav,,,
na'ña,ná'ña,[náˀɲa],lizard (?),lagartija,HM,CV?CV,glottalized,noun,wild animals,NGC,lagartija.wav,photo?,,
ña'ño,ña'ño,[ɲaˀɲo],half,mitad,MM,CV?CV,glottalized,noun,numbers,NGC,mitad.wav,,,
na'nu,ná'nu,[náˀnu],big (pl),grandes,HM,CV?CV,glottalized,adjective,states of being,,grandes.wav,,,
na'u,nā'ū,[nāˀū],joint,articulación,MM,CV?V,glottalized,noun,body parts and the body,NGC,articulación.wav,,,
na'u si'in,na'u sì'ín,[nāˀū sìˀĩ́],leg joint,articulación de la pierna,MM LH,CV?V CV?V,glottalized,noun,body parts and the body,NGC,NGC_ArticulacionDeLaPierna.wav,Said,,
naama,,[naama],Paredon,Paredon,,CVVCV,modal,proper name,directions and locations,JGO,paredon.wav,,,Tones
naja,nājǎ,[nāʰǎ],dark,oscuro,MR,CVhV,aspirated,adjective,states of being,NGC,oscuro.wav,,,
najma,najmǎ,[naʰmǎ],soap,jabón,MR,CVhCV,pre-aspirated,noun,life and health,NGC,jabón.wav,,,
ñajma nijin,ñâjmá nîjin,[ɲâʰmá nîʰĩ],corn veneer,Totomoxtle,FH FM,CVhCV CVhV,pre-aspirated,proper name,directions and locations,NGC,totomoxtle.wav,,,
najni,najnǐ,[naʰnǐ],waterfall,cascada,MR,CVhCV,pre-aspirated,noun,landscape and environment,NGC,cascada.wav,,,
najni,nájnǐ,[naʰnǐ],long (pl),largo,HL,CVhCV,pre-aspirated,adjective,states of being,,largo2.wav,pre-aspirated?,,
naka'ma,naka'ma,[nakaˀma],sew (potential),cocer,MMM,CVCV?CV,glottalized,verb (potential),Actions and activities,,,,,
naka'ma,náka'ma,[nákaˀma],sew (continuitive),cocer,HMM,CVCV?CV,glottalized,verb (continuative),Actions and activities,,,,,
naka'ma,nàka'ma,[nàkaˀma],sew (completive),cocer,LMM,CVCV?CV,glottalized,verb (completive),Actions and activities,,,,,
naka'nu,naka'nǔ,[nakaˀnǔ],"fold (tr, doblar) (potential)",doblar,MMR,CVCV?CV,glottalized,verb (potential),Actions and activities,,,,,
naka'nu,náka'nǔ,[nákaˀnǔ],"fold (tr, doblar) (continuitive)",doblar,HMR,CVCV?CV,glottalized,verb (continuative),Actions and activities,,,,,
naka'nu,nàka'nǔ,[nàkaˀnǔ],"fold (tr, doblar) (completive)",doblar,LMR,CVCV?CV,glottalized,verb (completive),Actions and activities,,,,,
naka'yì,naka'yì,[nakaˀjì],paint (potential),pintar,MML,CVCV?CV,glottalized,verb (potential),Actions and activities,,,,,
naka'yì,nàka'yì,[nàkaˀjì],paint (completive),pintar,LML,CVCV?CV,glottalized,verb (completive),Actions and activities,,,,,
nakanini,nàkanini,[nàkãĩi],think (comp),pensar (comp),LMMM,CVCVVV,modal,verb (completive),Actions and activities,,,,,"Tones, Check Duplicate, Transcription"
nakanini,nàkaninì,[nàkãĩì],think (comp),pensar (comp),LMML,CVCVVV,modal,verb (completive),Actions and activities,,,,,"Tones, Check Duplicate, Transcription"
nakanini,nákanini,[nákãĩi],think (cont),pensar (cont),HMMM,CVCVVV,modal,verb (continuative),Actions and activities,,,,,"Tones, Check Duplicate, Transcription"
nakanini,nákaninì,[nákãĩì],think (cont),pensar (cont),HMML,CVCVVV,modal,verb (continuative),Actions and activities,,,,,"Tones, Check Duplicate, Transcription"
nakanini,nakanini,[nakãĩi],think (pot),pensar (pot),MMMM,CVCVVV,modal,verb (potential),Actions and activities,,,,,"Tones, Check Duplicate, Transcription"
nakanini,nakaninì,[nākãĩì],think (pot),pensar (pot),MMML,CVCVVV,modal,verb (potential),Actions and activities,,,,,"Tones, Check Duplicate, Transcription"
nakantu'u,nàkantú'ù,[nàkãⁿtúˀù],lie down (comp),acostar (comp),LMHL,CVCVCV?V,glottalized,verb (completive),Actions and activities,,,,,
nakantu'u,nákantú'ù,[nákãⁿtúˀù],lie down (cont),acostar (cont),HMHL,CVCVCV?V,glottalized,verb (continuative),Actions and activities,,,,,
nakantu'u,nakantú'ù,[nakãⁿtúˀù],lie down (pot),acostrar (pot),MMHL,CVCVCV?V,glottalized,verb (potential),Actions and activities,,,,,
nakatsia,nakatsià,[nakat͡sʲà],wash (potential),lavar,MML,CVCVCCV,modal,verb (potential),Actions and activities,,lavar-pot.wav,,,
nakatsia,nákatsià,[nákat͡sʲà],wash (continuitive),lavar,HML,CVCVCCV,modal,verb (continuative),Actions and activities,,lavar-cont.wav,,,
nakatsia,nàkatsià,[nàkat͡sʲà],wash (completive),lavar,LML,CVCVCCV,modal,verb (completive),Actions and activities,,lavar-comp.wav,,,
nakatyiñe,,[naka͡tʃiñe],example,ejemplo,,CVCVCVCV,modal,noun,tools and implements,NGC,,,,Tones
nakava,nakavà,[nakaβà],fall (potential),caer,MML,CVCVCV,modal,verb (potential),Actions and activities,,caer-pot.wav,,,
nakava,nákavà,[nákaβà],fall (continuitive),caer,HML,CVCVCV,modal,verb (continuative),Actions and activities,,caer-cont.wav,,,
nakava,nàkavà,[nàkaβà],fall (completive),caer,LML,CVCVCV,modal,verb (completive),Actions and activities,,caer-comp.wav,,,
nakava,nákàvà,[nákàβà],to bend (continuative),doblarse (cont) (una barrilla),HLL,CVCVCV,modal,verb (completive),Actions and activities,NGC,doblarse(cont).wav,,,
naki'i,naki'i,[nakiˀi],pick up (potential),levantar,MMM,CVCV?V,glottalized,verb (potential),Actions and activities,,,,,
naki'i,náki'i,[nákiˀi],pick up (continuitive),levantar,HMM,CVCV?V,glottalized,verb (continuative),Actions and activities,,,,,
naki'i,nàki'i,[nàkiˀi],pick up (completive),levantar,LMM,CVCV?V,glottalized,verb (completive),Actions and activities,,,,,
nakita'an,nàkitá'an,[nàkitáˀã],gather (intr) (comp),cozechar (comp),LMHM,CVCCV?V,glottalized,verb (completive),Actions and activities,,,,,
nakita'an,nákitá'an,[nákitáˀã],gather (intr) (cont),cozechar (cont),HMHM,CVCCV?V,glottalized,verb (continuative),Actions and activities,,,,,
nakita'an,nakitá'an,[nakitáˀã],gather (intr) (pot),cozechar (pot),MMHM,CVCCV?V,glottalized,verb (potential),Actions and activities,,,,,
nakoto,nakòtò,[nakòtò],visit (potential),visitar,MLL,CVCVCV,modal,verb (potential),Actions and activities,,,,,
nakoto,nákòtò,[nákòtò],visit (continuitive),visitar,HLL,CVCVCV,modal,verb (continuative),Actions and activities,,,,,
nakoto,nàkotò,[nàkotò],visit (completive),visitar,LML,CVCVCV,modal,verb (completive),Actions and activities,,,,,
