Word,Orthography w/ tones,IPA,English,Spanish,Tone Melody,Syllable Structure,Phonation Type,Part of Speech,Semantic Domain,Speaker,Sound File,Notes,Checked?,Need
kasa ntutsia,kasa ntutsiǎ,[kasa ⁿtut͡sʲǎ],baptize (tr) (com),bautisar (comp),MM MR,CVCV CVCCV,modal,verb (completive),Actions and activities,,,,,
kasa'a,kàsa'a,[kàsaˀa],cook/make (completive),hacer/ cocinar (completive),LMM,CVCV?V,glottalized,verb (completive),"food, drink, and cooking",,,,,
kasa'a,kásà'a,[kásàˀa],cook/make (continuative),hacer/ cocinar (continuative),HLM,CVCV?V,glottalized,verb (continuative),"food, drink, and cooking",,,,,
kasa'a,kasà'a,[kasàˀa],cook/make (potential),hacer/ cocinar (potential),MLM,CVCV?V,glottalized,verb (potential),"food, drink, and cooking",,,,,
kasini,kasìnì,[kasìnì],eat breakfast (potential),desayunar (potential),MLL,CVCVCV,modal,verb (potential),"food, drink, and cooking",,,,,
kasun,kásùn,[kásùn],toasted,tostado,HL,CVCVC,pre-aspirated,adjective,"food, drink, and cooking",,,,,Check Duplicate
kasun,kásùn,,toast,"dorar, pot.",,,,,"food, drink, and cooking",,,,,Check Duplicate
kata'a,kátá'ǎ,[kátáˀǎ],fights,lucha,HHR,CVCV?V,glottalized,verb (continuative),Actions and activities,,lucha.wav,,,Verb Tense
kata'an,kàtǎ'àn,[kàtǎˀa᷈̀],fight/crash (completive),chocar (completive),LRL,CVCV?V,glottalized,verb (completive),Actions and activities,,,,,
kata'an,kátá'àn,[kátáˀa᷈̀],fight/crash (continuative),chocar (continuative),HHL,CVCV?V,glottalized,verb (continuative),Actions and activities,,,,,
kata'an,katá'àn,[katáˀa᷈̀],fight/crash (potential),chocar (potential),MHL,CVCV?V,glottalized,verb (potential),Actions and activities,,,,,
katavi,kàtavǐ,[kàtǎβǐ],push/press (completive),pulsar (completive),LRR,CVCVCV,modal,verb (completive),Actions and activities,,,,,
katavi,kátàvǐ,[kátàβǐ],push/press (continuative),pulsar (continuative),HLR,CVCVCV,modal,verb (continuative),Actions and activities,,,,,
katavi,katàvǐ,[katàβǐ],push/press (potential),pulsar (potential),MLR,CVCVCV,modal,verb (potential),Actions and activities,,,,,
katyi,,[ka͡tʃi],wool,lana,,CVCV,modal,noun,domesticated animals,NGC,lana.wav,,,Tones
katyi,kátyi,[káʰtʃi],to say (cont),decir,HM,CVCV,modal,verb (continuative),Actions and activities,JGO,,,,Check Duplicate
katyi,katyi,[kat͡ʃi],say (comp),decir (comp),MM,CVCV,modal,verb (completive),Actions and activities,,,,,
katyi,kátyi,[kát͡ʃi],say (cont),decir (cont),HM,CVCV,modal,verb (continuative),Actions and activities,,,,,Check Duplicate
katyi,kàtyi,[kàt͡ʃi],say (pot),decir (pot),LM,CVCV,modal,verb (potential),Actions and activities,,,,,
katyi ini,kǎtyi ini,[kǎt͡ʃi i᷈i],be in a bad mood (potential),estar de mal humor,RM MM,CVCCV VV,modal,verb (potential),Actions and activities,,,,,
